index,TW_NO,TW_TIME,TW_TEXT,FAV,RT,PERSON,PERSON_LABEL
0,1211708062337126400,2019-12-31 02:58:09,…文面から棒読みが伝わりますが、なにせ第2章が始まったばかりなのでご勘弁ください。さよならたりないふたりこんにちはたりないふたり文責山里 https://t.co/T4WcRLwvOh,3063,447,山里,0
1,1211707984801189896,2019-12-31 02:57:50,放送ご覧頂きありがとうございました。改めまして皆様、ご指導、ご鞭撻の程よろしくお願いします。文責若林,3809,520,若林,1
2,1211707917176426497,2019-12-31 02:57:34,放送ご覧頂きありがとうございました。お知らせです。Huluで完全版の配信がスタートしました。色んな理由でカットされた部分や舞台裏映像も入って3時間位あるそうです。ライブグッズの通販も始まったのでぜひ！文責山里,2989,484,山里,0
3,1209752987540705280,2019-12-25 17:29:23,どうかしてるよ…それ、大人の都合で絶対まだ言ってはいけないって説明されたでしょ？文責山里,2779,426,山里,0
4,1209724189575282688,2019-12-25 15:34:57,さよならたりないふたり完全版はHuluで放送直後から配信。テレビ版でカットしたところや舞台裏ドキュメント入って3時間弱です。←この情報だけゲットしました。最近、解禁前の情報を横流しできずすみません。　文責若林,6397,1523,若林,1
6,1190907650810118146,2019-11-03 17:24:44,ついていくしかないんでしょ？行くよ…文責山里,1851,154,山里,0
7,1190903280357933056,2019-11-03 17:07:22,ノートの向こう側に連れて行ってあげるからね。楽しみにしててね。文責若林,2602,277,若林,1
8,1190879051138781184,2019-11-03 15:31:05,ご指示の通りノート見てたから…文責山里,1202,86,山里,0
9,1190872025595699201,2019-11-03 15:03:10,おい、この返しを見るに今日調子良さそうだな。文責若林,1759,122,若林,1
10,1190863010983604224,2019-11-03 14:27:21,そんなトムクルーズ感満載で来られても困ります、そしてここはSNS、ダクト案は筒抜けです。文責山里,1257,115,山里,0
11,1190860629663350785,2019-11-03 14:17:53,ダクト伝って山ちゃんの楽屋に潜入しますので、漫才の打ち合わせしましょう。文責若林,1622,150,若林,1
12,1190851142172823552,2019-11-03 13:40:11,一足お先に会場に着きました。本当に全く会わないで本番を迎える形が出来てました。トイレも一苦労です。私、緊張すると頻繁にトイレに行く傾向があるので、先に「ご迷惑おかけします」とだけ言っておきます。文責山里,1711,145,山里,0
13,1190627631550435328,2019-11-02 22:52:02,どういう訳だ？この急なはしごの外し方、ただただ怖いよ…とにかく、明日ね。文責山里,1246,108,山里,0
14,1190623550266150912,2019-11-02 22:35:49,という訳で、今の僕たちなら大人の落ち着いた渋い漫才が皆様にお見せできるかと思います。楽しみにしててください。文責若林,2181,217,若林,1
15,1190621657997565952,2019-11-02 22:28:18,繋いでた鎖切りやがったな！やってやるよ、こっちだってな色々思ってるところあるんだよ！カス？カスなめんなよ、待っとけクズ！文責山里,1771,239,山里,0
16,1190618180747554819,2019-11-02 22:14:29,うるせーな！手元の例えツッコミノートでも眺めてろ！カス！文責若林,2962,419,若林,1
17,1190617705600016384,2019-11-02 22:12:36,ついに明日かぁ、どうなるんだろう…文責山里,1086,169,山里,0
